,xi,tau,source
0,0.3230605230901671,71.1402866146285,-0.3606330452534492
1,0.19356882048658236,77.67350492975051,1.318288387305614
2,-0.4006613030667466,67.37905527194168,-0.5863144914828529
3,0.3804031255003001,65.12434031131883,-0.8744279944270071
4,-0.9081354071139315,77.568309773259,0.9535172389399154
5,0.4607554002679652,76.41185225099831,-0.7142004768588718
6,0.03211318805064135,58.6392605068981,0.21900212754597778
7,0.5394848420726325,63.274305407697945,0.3066424756233106
8,0.4771041967763673,96.23052999003252,-0.08033317877144402
9,-0.5972888247439468,60.312828461004734,0.8964038975263765
10,-0.08200532029017979,50.47775474161166,-0.5697079857738672
11,-0.7787765733046392,75.01362676973464,0.6970966121438653
12,0.09687512443472579,75.21035088508572,0.6779796424693061
13,0.7438545583103567,63.00489833518725,0.4730578199337255
14,0.6585334215231788,81.07808699456609,0.41002679095524397
15,-0.032323888245063076,110.0056940322598,0.49499549741881366
16,0.09077209269641756,68.45032676704724,0.8257998805454203
17,-0.5081060882237363,82.92871640591906,0.16613930427402898
18,-0.16324988688240877,62.48540325537107,-0.06057511745262054
19,-0.5085011192119333,71.77126972595745,-0.8858190588769171
20,0.15503208851401468,83.07131753957023,-0.8644868107334853
21,0.03943464473004,58.81903055391879,0.532777233634283
22,-0.87726367867082,76.24837465213992,-1.0425591895711819
23,-0.4007119954812629,80.08105411935097,1.1593139201687146
24,-0.6376142838486674,60.09298099393095,1.3343630935456074
25,-0.17590218365110796,81.99572117011246,0.9716163461168507
26,-0.1726167240928065,66.49144839878194,0.5403807687419562
27,0.4656077570331816,94.99539330564207,-0.9742824894804823
28,0.2897119944284662,74.99250576568672,1.5434544670129442
29,-0.24785658129784358,51.690690903100396,1.4134265202174574
30,-0.5570750953091664,57.454317150796584,-0.7601410687632345
31,0.5419301918781234,46.89315552160342,-1.1559717484262086
32,0.24297382407043944,52.821174570587246,-0.8414791264426378
33,-0.09607334172099778,87.76274035469308,0.23942766010615318
34,0.08831205253925198,83.44108900430199,-0.023536268357574334
35,-0.06369230935755922,67.99537925822084,0.48531808753022854
36,0.12553342515518845,77.29141348436758,-1.8128741733811722
37,-0.2061874792885115,78.48043697067959,1.52845623512567
38,-0.5249680622646183,60.06297101379903,0.8613261565965908
39,-0.7994892763611607,62.23078429875385,-0.7142002579082596
